title,저자,발행기관,발행연도,핵심어
이동형 영상정보 처리기기의 개인정보 보호를 위한 법·정책 개선방안,계태화,한국경호경비학회,2021,"['개인영상정보 보호', '드론', '자율주행', '사후 동의(Opt-Out)', '이동형 영상정보 처리기기', '개인정보 보호법', 'Privacy protection', 'UAS', 'Automated vehicles', 'Personal Information Protection Act', 'Opt-Out', 'Movable video devices']"
"LIG넥스원, 수소연료전지 기반 수송드론 개발 추진 : 고효율의 ‘자율주행 수송드론’ 개발, 물류·수송 분야 미래기술 확보",편집부(편집자),한국방위산업진흥회,2021,
신경망을 이용한 BLE 기반 실내 측위 시스템 설계                      = BLE-based Indoor Positioning System design using Neural Network,신광성,한국정보통신학회,2021,"['Indoor localization', 'Beacon', 'BLE', 'Neural network', '실내 측위', '비콘', 'BLE', '신경망']"
실내 공유형 스마트 모빌리티의 비언어적 피드백을 이용한 상태 표현,김병헌(Byounghern Kim),한국HCI학회,2021,"['퍼스널 모빌리티', '인터랙션']"
수요대응 모빌리티로서 자율주행 대중교통 (Driverless Transit Operation),김현,대한교통학회,2021,
자율주행차 탑승자의 정보 수용 및 의사 결정을 지원하는 정보 시스템 유형 연구                      = Designing an Information System that Supports Decision Making for Passengers of Autonomous Vehicles,권수연,한국디자인학회,2021,"['자율주행차', '자율주행 시스템 디자인', '인포테인먼트 시스템', '정보 디스플레이', '의사 결정 지원', 'Autonomous Vehicle', 'Autonomous System Design', 'Infotainment System', 'Information Display', 'Decision Support']"
열차자율주행을 위한 차상중심 환경인지 프레임워크 및 딥러닝 알고리즘 설계,강신욱(Sinuk Kang),한국철도학회,2021,"['Environmental recognition', 'Artificial intelligence', 'Deep learning', 'Autonomous train control system', '환경인지', '인공지능', '딥러닝', '열차자율주행']"
치안용 자율 드론 도입에 따른 법적 쟁점 및 과제 연구,"강미영(Kang, Mi young)",충남대학교 법학연구소,2021,"['무인 항공기', '치안 드론', '드론 순찰', '자율주행 드론', '범죄 예방', '개인정보보호', 'Unmanned Aircraft System', 'Police Drone', 'Drone Patrol', 'Autonomous Drone', 'Crime Prevention', 'Privacy Protection']"
고령자를 위한 미래자동차 헤드업 디스플레이 인포테인먼트 콘텐츠,권주영(Ju Yeong Kwon),한국자동차공학회,2021,"['The Elderly(고령자)', 'Future Vehicle(미래자동차)', 'Head-Up Display(헤드업 디스플레이)', 'Manual Driving(수동주행)', 'Autonomous Driving(자율주행)', 'Infotainment(인포테인먼트)']"
임베디드 시스템 기반 실시간 물체 추적을 위한 DeepSort 개선,문종원(Jongwon Moon),한국자동차공학회,2021,"['Convolutional Neural Network(컨볼루션 신경망)', 'Object Tracking(물체추적)', 'Autunomous Driving(자율주행)', 'Embedded system(임베디드 시스템)']"
